============================================================================================
ANSOFT                                                                              04/04/20
XY Plot 2                                                                           13:05:43

--------------------------------------------------------------------------------------------
        Freq [GHz]        re(S(1,1)) []        im(S(1,1)) []
12.699999999999999    0.646796323167182   -0.748886710258006
12.800000000000001    0.624339724550814   -0.767562928089626
12.900000000000000    0.601357069008120   -0.785553206284177
13.000000000000000    0.577869293768410   -0.802843535728985
13.100000000000000    0.553897669978325   -0.819420546339534
13.199999999999999    0.529463782712678   -0.835271513209201
13.300000000000001    0.504589510951699   -0.850384362058867
13.400000000000000    0.479297007556434   -0.864747673989372
13.500000000000000    0.453608679274107   -0.878350689541769
13.600000000000000    0.427547166805000   -0.891183312072229
13.699999999999999    0.401135324962140   -0.903236110450422
13.800000000000001    0.374396202954641   -0.914500321092185
13.900000000000000    0.347353024824944   -0.924967849339162
14.000000000000000    0.320029170069482   -0.934631270200108
14.100000000000000    0.292448154471431   -0.943483828470334
14.199999999999999    0.264633611173194   -0.951519438247711
